image_pathname,adapter_size,camera_type,objective_magnification,objective_name,output_resolution,project_name,slide_creationdatetime,slide_type,micrometer_per_pixel_x,micrometer_per_pixel_y,scanner_camera_type,scanner_hardware_version,bounds_height,bounds_width,mpp_x,mpp_y,objective_power,vendor
/home/weismanal/projects/idibell/repo/data/DigitalSlide_B9M_6S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,63.0629921773564,PannoramicSlide,28/06/2021 18:32:30,SLIDE_TYPE_BRIGHTFIELD,0.158309027777778,0.158834185848252,Adimec Q-12A-180Fc,Pannoramic 1000,194560,150784,0.158309027777778,0.15883418584825201,40,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_B9M_7S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,63.0629921773564,PannoramicSlide,28/06/2021 18:44:21,SLIDE_TYPE_BRIGHTFIELD,0.158309027777778,0.158834185848252,Adimec Q-12A-180Fc,Pannoramic 1000,217600,150784,0.158309027777778,0.15883418584825201,40,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_B9M_8S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,63.0629921773564,PannoramicSlide,28/06/2021 18:59:33,SLIDE_TYPE_BRIGHTFIELD,0.158309027777778,0.158834185848252,Adimec Q-12A-180Fc,Pannoramic 1000,272384,146688,0.158309027777778,0.15883418584825201,40,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_12S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:52:35,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,137472,100352,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_14S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:55:30,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,170496,72704,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_19S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 18:34:06,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,166400,100608,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_1S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:35:18,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,197632,100864,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_2S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:36:57,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,154112,89344,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_3S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:38:47,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,195584,97536,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_C10M_9S_1.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,41.2216632638026,PannoramicSlide,03/12/2021 17:48:05,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,183040,92416,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_D4M_1S_1_20210922131645990.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,,Default,21/09/2021 16:47:59,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,182784,97280,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_D4M_2S_1_20210922131740429.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,,Default,21/09/2021 16:49:35,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,195328,86272,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_E10M_7S_1_20210914145322714.mrxs,1.6,Adimec Q-12A-180Fc,20,Plan-Apochromat,,Default,13/09/2021 18:11:11,SLIDE_TYPE_BRIGHTFIELD,0.242534722222222,0.242647058823529,Adimec Q-12A-180Fc,Pannoramic 1000,106240,50432,0.242534722222222,0.24264705882352899,20,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_E6M_15S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,82.4433265276053,PannoramicSlide,07/05/2021 12:44:45,SLIDE_TYPE_BRIGHTFIELD,0.121267361111111,0.121323529411765,Adimec Q-12A-180Fc,Pannoramic 1000,312576,194304,0.121267361111111,0.121323529411765,40,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_E6M_17S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,82.4433265276053,PannoramicSlide,07/05/2021 12:56:40,SLIDE_TYPE_BRIGHTFIELD,0.121267361111111,0.121323529411765,Adimec Q-12A-180Fc,Pannoramic 1000,262912,158720,0.121267361111111,0.121323529411765,40,mirax
/home/weismanal/projects/idibell/repo/data/DigitalSlide_E6M_20S_1.mrxs,1.6,Adimec Q-12A-180Fc,40,Plan-Apochromat,82.4433265276053,PannoramicSlide,07/05/2021 13:14:15,SLIDE_TYPE_BRIGHTFIELD,0.121267361111111,0.121323529411765,Adimec Q-12A-180Fc,Pannoramic 1000,394496,197376,0.121267361111111,0.121323529411765,40,mirax
